Title;Genre ID;Publisher;Platform release date;Original release date
A Place for the Unwilling;1;ALPixel Games;2021.02.23;2019.07.25
Adam Wolfe;1;Mad Head Games;2022.03.01;2016.10.07
Adventure Time: Pirates of the Enchiridion;1;Outright Games;2022.03.25;2018.07.17
Ark: Survival Evolved;1;Studio Wildcard;2021.09.01;2015.06.02
Ary and the Secret of Seasons;1;Modus Games, Maximum Games;2020.11.05;2020.09.01
Assassin's Creed III Remastered;0;Ubisoft;2021.12.14;2012.10.30
Assassin's Creed IV: Black Flag;0;Ubisoft;2021.09.14;2013.10.29
Assassin's Creed Odyssey;0;Ubisoft;2019.11.19;2018.10.05
Assassin's Creed Origins;0;Ubisoft;2020.12.15;2017.10.27
Assassin's Creed Rogue;0;Ubisoft;2021.10.05;2014.11.11
Assassin's Creed Syndicate;0;Ubisoft;2020.12.15;2015.10.23
Assassin's Creed Unity;0;Ubisoft;2020.12.15;2014.11.11
Assassin's Creed Valhalla;0;Ubisoft;2020.11.10;2020.11.10
Attack on Titan 2: Final Battle;8;Koei Tecmo;2019.11.19;2018.03.15
AVICII Invector;11;Hello There;2021.03.01;2019.12.10
Ben 10: Power Trip;1;Outright Games;2021.10.15;2020.10.07
Blaze and the Monster Machines: Axle City Racers;15;Outright Games;2021.12.01;2021.10.01
Bloodstained: Ritual of the Night;0;505 Games;2021.07.06;2019.06.18
Blue Fire;1;Graffiti Games;2021.06.01;2021.02.04
Borderlands 3;18;2K Games;2019.12.17;2019.09.13
Cake Bash;12;Coatsink;2020.10.15;2020.10.15
Celeste;13;Extremely OK Games;2020.07.28;2018.01.25
Chicken Police - Paint it RED!;1;HandyGames;2021.12.06;2020.11.05
Child of Light;13;Ubisoft;2021.10.19;2014.04.30
Chorus;20;Deep Silver;2021.12.03;2021.12.03
Chronos: Before the Ashes;0;THQ Nordic;2020.12.01;2020.12.01
Cities: Skylines;6;Paradox Interactive;2022.05.17;2015.03.10
City Legends: The Curse of the Crimson Shadow;1;Legacy Games;2022.04.01;2021.09.21
Control;1;505 Games;2021.07.27;2019.08.27
Cosmic Star Heroine;17;Zeboyd Games;2021.04.01;2017.04.11
Cris Tales;17;Modus Games;2021.07.20;2021.07.20
Cthulhu Saves Christmas;17;Zeboyd Games;2020.12.22;2019.12.23
Cyberpunk 2077;0;CD Projekt;2020.12.10;2020.12.10
Darksiders Genesis;0;THQ Nordic;2019.12.05;2019.12.05
Darksiders II;0;THQ Nordic;2021.09.01;2015.10.27
Darksiders III;0;THQ Nordic;2021.09.14;2018.11.27
Darkwood;23;Acid Wizard Studio;2021.09.07;2017.08.17
Dawn of the Monsters;7;WayForward;2022.03.01;2022.03.01
Dead by Daylight;23;Behaviour Interactive;2020.10.01;2016.06.14
DEATHRUN TV;18;Merge Games;2022.06.01;2021.06.13
Deliver Us the Moon;13;Wired Productions;2022.06.01;2018.09.28
Destiny 2;18;Bungie;2019.11.19;2017.09.06
Destroy All Humans!;1;THQ Nordic;2020.12.08;2020.07.28
Dirt 5;15;Codemasters;2021.03.24;2020.11.06
Disco Elysium: The Final Cut;1;Iam8bit;2021.03.30;2019.10.15
Doom;18;Bethesda Softworks;2020.08.18;2016.05.13
Doom 64;18;Bethesda Softworks;2020.05.12;1997.04.04
Doom Eternal;18;Bethesda Softworks;2020.03.20;2020.03.20
Dragon Ball Xenoverse 2;7;Bandai Namco Entertainment;2019.12.17;2016.10.25
Dragon Ball Z: Kakarot;0;Bandai Namco Entertainment;2021.10.26;2020.01.17
Dragon Quest XI;17;Square Enix;2021.03.16;2017.07.29
DreamWorks Dragons Dawn of the New Riders;1;Outright Games;2021.08.13;2019.02.01
DreamWorks Spirit Lucky?s Big Adventure;1;Outright Games;2021.10.01;2021.06.01
Dynasty Warriors 9: Empires;22;Koei Tecmo Games;2022.02.15;2021.12.23
El Hijo - A Wild West Tale;14;HandyGames;2020.12.03;2020.12.03
Elemental War 2;24;Clockwork Origins;2022.05.06;2021.12.09
Embr;0;Curve Digital;2020.05.21;2020.01.01
Enter the Gungeon;0;Dodge Roll;2020.12.22;2016.04.05
Epistory ? Typing Chronicles;1;Fishing Cactus;2021.02.02;2016.03.30
Everspace;20;Rockfish Games;2020.12.01;2017.05.25
F1 2020;15;Codemasters;2020.07.07;2020.07.07
Family Feud;12;Ubisoft;2020.11.12;2020.11.12
Far Cry 3: Blood Dragon;18;Ubisoft;2022.07.07;2013.04.30
Far Cry 5;18;Ubisoft;2020.11.03;2018.03.27
Far Cry 6;18;Ubisoft;2021.10.07;2021.10.07
Far Cry New Dawn;18;Ubisoft;2020.11.03;2019.02.15
Far Cry Primal;18;Ubisoft;2022.05.17;2016.02.23
Farming Simulator 19;19;Focus Home Interactive;2019.11.19;2018.11.20
Farming Simulator 22;19;Giants Software;2021.11.21;2021.11.21
Fast and Furious: Spy Racers Rise of SH1FT3R;15;Outright Games;2022.01.25;2021.11.05
FIFA 21;21;Electronic Arts;2021.03.17;2020.10.09
FIFA 22;21;Electronic Arts;2021.10.01;2021.10.01
Figment;1;Bedtime Digital Games;2020.12.08;2017.09.22
Final Fantasy XV;0;Square Enix;2019.11.19;2016.11.29
Five Nights at Freddy's: Security Breach;23;ScottGames;2022.07.01;2021.12.16
Floor Kids;16;MERJ Media;2021.04.14;2017.12.07
Football Manager 2020;19;Sega;2019.11.19;2019.11.18
Foreclosed;1;Merge Games;2021.08.12;2021.08.12
Get Packed;12;Coatsink;2020.04.28;2020.04.28
Gigantosaurus: The Game;1;Outright Games;2021.08.13;2020.03.27
Gods Will Fall;1;Deep Silver;2021.01.29;2021.01.29
Golf with Your Friends;21;Team17;2022.04.14;2020.05.19
Grid;15;Codemasters;2019.11.19;2019.10.11
Grime;1;Akupara Games;2021.08.02;2020.12.15
Gunsport;21;Necrosoft Games;2020.09.01;2020.09.01
Gylt;1;Tequila Works;2019.11.19;2019.11.19
Heist Simulator;19;Outright Games;2021.10.29;2021.10.19
Hello Neighbor;23;tinyBuild;2020.09.01;2017.12.08
Hello Neighbor: Hide & Seek;23;tinyBuild;2020.11.01;2018.12.07
Hellpoint;0;tinyBuild;2021.02.25;2020.07.30
Hitman;23;IO Interactive;2020.09.01;2016.10.31
Hitman 2;23;IO Interactive;2020.09.01;2018.11.13
Hitman 3;23;IO Interactive;2021.01.20;2021.01.20
Hotline Miami;18;Devolver Digital;2020.09.22;2013.06.25
Hotline Miami 2: Wrong Number;18;Devolver Digital;2020.09.22;2015.03.10
House of the Dead: Remake;18;Forever Entertainment;2022.04.28;2022.04.07
Human: Fall Flat;14;Curve Digital;2020.10.01;2016.07.22
Hundred Days - Winemaking Simulator;19;Broken Arms Games;2021.05.13;2021.05.13
Hunting Simulator 2;19;Nacon;2021.11.30;2017.06.16
Ice Age: Scrat?s Nutty Adventure;1;Outright Games;2021.08.13;2019.10.16
Immortals: Fenyx Rising;1;Ubisoft;2020.12.03;2020.12.03
Into the Breach;22;Subset Games;2020.12.01;2018.02.27
It came from space and ate our brains;18;Triangle Studios;2021.03.02;2013.10.31
Jotun: Valhalla Edition;1;Thunder Lotus Games;2020.05.26;2015.09.29
